Gene	s1_p16_neg_PBS	s2_p16_neg_PBS	s3_p16_neg_PBS	s4_p16_neg_PBS	s1_p16_pos_PBS	s2_p16_pos_PBS	s3_p16_pos_PBS	s4_p16_pos_PBS	s1_p16_neg_LPS	s2_p16_neg_LPS	s3_p16_neg_LPS	s4_p16_neg_LPS	s1_p16_pos_LPS	s2_p16_pos_LPS	s3_p16_pos_LPS	s4_p16_pos_LPS
0610005C13Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0610009B22Rik	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0
0610009E02Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0610009L18Rik	0	2	0	1	0	0	1	1	0	0	0	1	2	0	0	5
0610010F05Rik	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	3
0610010K14Rik	1	6	11	21	0	8	14	53	5	7	12	28	11	20	6	75
0610012G03Rik	0	4	4	14	0	4	9	23	2	8	9	32	11	16	6	95
0610030E20Rik	1	0	0	0	0	0	0	0	1	0	1	0	0	0	0	1
0610031O16Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0610038B21Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0610039H22Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0610039K10Rik	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0
0610040B10Rik	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0610040F04Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
0610040J01Rik	0	0	0	0	0	2	0	0	1	1	0	0	0	2	0	1
0610043K17Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1110002E22Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1110002J07Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1110002L01Rik	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	1
1110004F10Rik	0	1	1	2	0	2	1	4	0	0	2	4	0	2	1	15
1110006O24Rik	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0
1110008P14Rik	1	5	7	12	1	4	20	37	9	6	7	62	6	21	11	163
1110012L19Rik	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	5
1110015O18Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1110017D15Rik	2	2	1	1	0	8	2	5	5	1	3	3	1	36	0	9
1110019D14Rik	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1
1110020A21Rik	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0
1110025L11Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1110028F11Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1110028F18Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1110032A03Rik	0	0	0	0	1	1	0	0	1	0	0	0	0	2	0	0
1110032F04Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
1110036E04Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1110038B12Rik	0	0	0	0	0	1	0	2	0	0	1	7	2	2	1	14
1110038F14Rik	1	3	8	14	4	6	20	39	4	2	3	36	6	21	4	90
1110046J04Rik	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1
1110051M20Rik	0	2	1	5	0	8	5	11	0	5	5	4	2	12	2	20
1110058D11Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
1110059E24Rik	0	0	0	0	1	1	1	1	0	0	0	0	0	0	0	1
1110059G10Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1110065P20Rik	0	0	1	2	1	2	2	7	0	2	1	6	1	1	1	15
1190005I06Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1190007I07Rik	0	0	0	0	1	0	2	2	1	3	0	3	2	2	0	4
1190028D05Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1300002E11Rik	0	0	0	0	0	0	2	2	1	0	0	3	0	0	1	4
1300017J02Rik	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
1500004A13Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1500009C09Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1500009L16Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
1500011B03Rik	0	2	1	1	0	0	1	5	0	1	1	1	1	0	0	12
1500012K07Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1500015A07Rik	0	1	0	0	0	0	2	3	0	0	0	0	2	1	1	1
1500015L24Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1500026H17Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1600002D24Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1600010M07Rik	0	0	1	5	0	1	4	6	1	3	4	6	5	3	0	20
1600012H06Rik	0	1	0	1	0	0	0	4	0	0	1	1	0	0	0	2
1600012P17Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1600014C10Rik	0	11	42	65	0	9	28	64	30	61	25	119	26	36	15	299
1600014C23Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1600019K03Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1600020E01Rik	0	3	0	2	0	0	2	0	0	0	1	0	0	1	0	4
1600023N17Rik	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
1600025M17Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1600027J07Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1600029I14Rik	1	2	0	1	1	3	0	7	2	2	0	1	0	30	2	9
1600029O15Rik	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
1700001C19Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700001D01Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700001F09Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700001G01Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700001G11Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
1700001G17Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700001J03Rik	0	0	1	0	0	0	0	0	0	0	0	4	0	1	0	3
1700001J11Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700001K19Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700001K23Rik	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
1700001L05Rik	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	5
1700001L19Rik	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
1700001O22Rik	0	0	0	1	0	0	0	1	0	0	0	0	0	3	0	1
1700001P01Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700003C15Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700003D09Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700003E16Rik	0	0	0	0	1	2	0	5	0	0	0	2	0	33	0	1
1700003E24Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700003F12Rik	1	1	1	6	0	3	6	16	4	1	2	7	5	0	5	18
1700003G18Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700003H04Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700003I22Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700003L19Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700003M07Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700003P14Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700006A11Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700006F04Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700006H21Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700007F19Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700007J10Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700007K13Rik	1	1	0	2	0	0	0	4	0	2	0	1	0	26	0	4
1700007L15Rik	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
1700007P06Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700008C04Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700008J07Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700008K24Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700008O03Rik	0	0	0	0	0	0	0	1	0	0	0	2	0	0	0	10
1700008P02Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700009C05Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700009J07Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700009N14Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700010B08Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700010D01Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700010I02Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700010I14Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
1700010J16Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700010K23Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700010N08Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700011B04Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700011C11Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700011L22Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700011M02Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700012A03Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700012B07Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700012B09Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1
1700012C14Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700012D01Rik	0	0	0	0	0	0	1	1	1	1	0	0	3	2	0	0
1700012D14Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700012D16Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700012H19Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700012I11Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700012P22Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700013D24Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700013F07Rik	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0
1700013G24Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700013H16Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700015F17Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700015G11Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700016A09Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700016C15Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700016D06Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700016G22Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700016H13Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700016K05Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700016K19Rik	1	8	1	6	0	83	27	24	11	4	5	12	54	387	24	26
1700016L04Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700016L21Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700016P04Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700017B05Rik	1	6	14	28	0	9	27	49	7	9	13	70	18	40	10	179
1700017G19Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700017J07Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700017L05Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700017N19Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700018A04Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700018B08Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700018B24Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700018F24Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700018G05Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700018L02Rik	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0
1700019A02Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700019C18Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700019D03Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700019E08Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700019G24Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700019M22Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700019N19Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700019P21Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700020A23Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700020D05Rik	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0
1700020D14Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700020G17Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700020L24Rik	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	5
1700020M21Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700020N01Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700020N15Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700020N18Rik	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
1700021F02Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700021F07Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700021N21Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700022A21Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700022A22Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700022E09Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700022H01Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700022H16Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700022I11Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700023C21Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700023D09Rik	0	0	0	0	0	0	0	2	0	0	0	1	0	0	0	1
1700023F02Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700024B18Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700024F13Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700024G13Rik	0	0	0	0	0	1	0	1	0	0	0	0	1	11	0	1
1700024I08Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700024N05Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700025B11Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700025C18Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700025F24Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700025G04Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700025J12Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700025K24Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700025M24Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700025N23Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
1700026D11Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700026F02Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700026J14Rik	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
1700027A15Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700027F06Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700027F09Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700027H10Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700027I24Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700027J07Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700028B04Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700028D13Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700028E10Rik	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
1700028I16Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700028J19Rik	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0
1700028K03Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700028M03Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700028P14Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700028P15Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700029B22Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700029F12Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700029H14Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700029I15Rik	0	1	0	0	0	2	5	4	1	5	2	9	5	6	4	33
1700029J03Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700029J07Rik	4	2	0	1	0	0	0	1	0	0	0	0	2	3	0	1
1700029M20Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700029N11Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700029P11Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700030A11Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700030C10Rik	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	1
1700030C14Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700030F04Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700030J22Rik	0	0	0	0	0	0	0	0	0	0	0	0	1	5	0	0
1700030K09Rik	0	0	0	5	0	0	0	3	1	1	3	4	0	0	1	2
1700030L20Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700030M09Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700030N03Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700030O20Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700031A10Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700031F05Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700031L13Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700031M16Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700031P21Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700034E13Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700034G24Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700034H15Rik	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
1700034I23Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700034J05Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700034K08Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700034P13Rik	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
1700036G14Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700037C18Rik	0	0	3	2	3	4	7	10	4	1	3	2	8	42	7	10
1700037H04Rik	0	6	8	21	1	5	22	44	10	12	5	51	20	26	7	130
1700039E22Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700039M10Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700040D17Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700041A01Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700041C23Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700041M19Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700042G07Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700042G15Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700042O10Rik	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
1700044C05Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700044K03Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700045H11Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700046C09Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700047A11Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700047E10Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700047G03Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700047L14Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700047M11Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700048M11Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700048O20Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
1700049E15Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700049E17Rik1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700049E17Rik2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700049E22Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700049L16Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700051A21Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700052I22Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700052K11Rik	0	0	2	0	0	0	0	0	0	0	1	2	1	1	0	4
1700054A03Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700054K19Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700054M17Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700055C04Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700055D16Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700056E22Rik	0	1	0	0	0	0	1	2	0	0	0	1	1	2	1	4
1700057G04Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700057H15Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700057H21Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700060C16Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700060C20Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700061F12Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700061I17Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700061J23Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700061N14Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700063A18Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700063D05Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700063H04Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700063O14Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700064J06Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700064M15Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700065D16Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700065I16Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700065J11Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700065J18Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700065L07Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700065O20Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700066B17Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700066B19Rik	0	0	0	0	0	0	0	2	0	0	0	0	0	1	0	2
1700066C05Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700066J03Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700066M21Rik	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
1700066N21Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700066O22Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700067G17Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700067K01Rik	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1
1700067P10Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700069L16Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700069P05Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700071K01Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700071M16Rik	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0
1700072B07Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700072I22Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700072O05Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700073E17Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700074H08Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700074P13Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700080N15Rik	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700080O16Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700081H04Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700083H02Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700084D21Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700084E18Rik	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1
1700084F23Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700084J12Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700084M14Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700085C21Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700086L19Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
